
These predictions were generated by MoorDyn (v2.3.82025-02-27) on 10-Feb-2026 at 09:55:27.

 
 
 
      Time        FAIRTEN1        FAIRTEN2        FAIRTEN3        FAIRTEN4        FAIRTEN5        FAIRTEN6        ANCHTEN1        ANCHTEN2        ANCHTEN3        ANCHTEN4        ANCHTEN5        ANCHTEN6
       (s)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)
    0.0000   1.3689488E+07   1.3689488E+07   1.3689488E+07   1.3689488E+07   1.3689488E+07   1.3689488E+07   1.3728324E+07   1.3728324E+07   1.3728324E+07   1.3728324E+07   1.3728324E+07   1.3728324E+07
    0.0100   1.3705260E+07   1.3704652E+07   1.3680386E+07   1.3679633E+07   1.3690467E+07   1.3691829E+07   1.3728323E+07   1.3728323E+07   1.3728323E+07   1.3728323E+07   1.3728323E+07   1.3728323E+07
    0.0200   1.3705251E+07   1.3704612E+07   1.3679603E+07   1.3678839E+07   1.3690218E+07   1.3691622E+07   1.3728323E+07   1.3728323E+07   1.3728323E+07   1.3728323E+07   1.3728323E+07   1.3728323E+07
    0.0300   1.3713633E+07   1.3712648E+07   1.3675043E+07   1.3673919E+07   1.3691466E+07   1.3693577E+07   1.3728342E+07   1.3728341E+07   1.3728312E+07   1.3728311E+07   1.3728324E+07   1.3728326E+07
    0.0400   1.3718724E+07   1.3717474E+07   1.3671392E+07   1.3670056E+07   1.3692327E+07   1.3694912E+07   1.3728583E+07   1.3728573E+07   1.3728171E+07   1.3728159E+07   1.3728338E+07   1.3728360E+07
    0.0500   1.3722179E+07   1.3720705E+07   1.3668916E+07   1.3667484E+07   1.3693738E+07   1.3696644E+07   1.3729748E+07   1.3729692E+07   1.3727486E+07   1.3727417E+07   1.3728403E+07   1.3728526E+07
    0.0600   1.3723260E+07   1.3721623E+07   1.3667553E+07   1.3666157E+07   1.3695319E+07   1.3698353E+07   1.3732928E+07   1.3732748E+07   1.3725599E+07   1.3725378E+07   1.3728585E+07   1.3728986E+07
    0.0700   1.3721992E+07   1.3720260E+07   1.3667549E+07   1.3666323E+07   1.3697179E+07   1.3700137E+07   1.3738918E+07   1.3738499E+07   1.3722013E+07   1.3721507E+07   1.3728966E+07   1.3729891E+07
    0.0800   1.3718210E+07   1.3716465E+07   1.3668960E+07   1.3668039E+07   1.3699119E+07   1.3701785E+07   1.3747613E+07   1.3746839E+07   1.3716743E+07   1.3715829E+07   1.3729622E+07   1.3731311E+07
    0.0900   1.3712052E+07   1.3710383E+07   1.3671798E+07   1.3671302E+07   1.3701033E+07   1.3703199E+07   1.3758011E+07   1.3756793E+07   1.3710326E+07   1.3708936E+07   1.3730629E+07   1.3733237E+07
    0.1000   1.3703816E+07   1.3702313E+07   1.3675976E+07   1.3676000E+07   1.3702764E+07   1.3704243E+07   1.3768633E+07   1.3766930E+07   1.3703587E+07   1.3701735E+07   1.3732056E+07   1.3735610E+07
